stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
759877,"771","Oakland Rd at Victoria Rd","",35.573982,-82.554301,0,,0,,
759878,"772","A-B Tech at Simpson Administration Building","",35.569969,-82.554328,0,,0,,
759879,"773","A-B Tech at K Ray Bailey Student Center","",35.571317,-82.554386,0,,0,,
759880,"774","Victoria Rd at Asheville High School","",35.574385,-82.553219,0,,0,,
759881,"775","Victoria Rd at Livingston St","",35.576457,-82.551948,0,,0,,
759882,"776","Livingston St at Victoria Rd","",35.577416,-82.551716,0,,0,,
759883,"777","Livingston St at Pine Grove Ave","",35.578109,-82.554453,0,,0,,
759884,"778","Livingston St at Gaston St","",35.577685,-82.556904,0,,0,,
759885,"779","S French Broad Ave at Livingston St","",35.577939,-82.559945,0,,0,,
759886,"780","S French Broad Ave at Choctaw St","",35.580165,-82.559764,0,,0,,
759887,"781","S French Broad Ave at Bartlett St","",35.582716,-82.559603,0,,0,,
759888,"782","S French Broad Ave at Phifer St","",35.584747,-82.559473,0,,0,,
759889,"783","S French Broad Ave at Asheville Middle School","",35.586699,-82.559335,0,,0,,
759890,"784","S French Broad Ave at Aston Park Towers","",35.58848,-82.559206,0,,0,,
759891,"785","S French Broad Ave at Hilliard Ave","",35.591023,-82.558928,0,,0,,
759585,"403","College St at Court Plaza","",35.596247,-82.549042,0,,0,,
759588,"406","Tunnel Rd at College St","",35.599142,-82.54165,0,,0,,
759589,"407","Tunnel Rd at Ingles","Greyhound Station",35.596744,-82.534691,0,,0,,
759593,"411","Tunnel Rd at White Pine Dr","",35.585309,-82.527993,0,,0,,
759594,"412","S Tunnel Rd at Asheville Mall","",35.582568,-82.525186,0,,0,,
759595,"413","S Tunnel Rd at Best Buy","",35.580498,-82.523094,0,,0,,
759596,"414","S Tunnel Rd at Lowes","",35.579148,-82.521706,0,,0,,
759597,"415","Swannanoa River Rd at S Tunnel Rd","",35.577839,-82.519777,0,,0,,
759598,"416","Swannanoa River Rd at U-Haul","",35.578927,-82.517342,0,,0,,
759600,"418","Swannanoa River Rd at Bleachery Blvd","",35.577386,-82.512093,0,,0,,
759601,"419","Swannanoa River Rd at Fairway Dr","",35.574838,-82.506625,0,,0,,
