aggregation,city_bounded,city_name,formatted_value,id,route_id,route_type,sample_period,type,value,version
route,False,Chicago,1.0,1429,63W,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1430,30,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.71,1431,7,0,alltime,num_routes,0.714285714285714,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1432,143,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1433,97,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1434,54A,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.94,1435,130,0,alltime,num_routes,0.940472883597884,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1436,29,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1437,63,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1298,74,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1438,3,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1439,81W,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1440,74,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1441,91,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1442,52,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1443,95E,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1444,85,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.94,1445,172,0,alltime,num_routes,0.940472883597884,4dd05d5e-b859-4b04-bbfb-4b3bac872151
